Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,Epifania Sáhinos Pérez ESP / Areli Ponce GArcía APG,Transcription,Translation,Tokenization,Surface Segmentation,Canonical Segmentation,Surface Glossing,Canonical Glossing,Notes,,,,,
0:00:00,0,0,00:00:00:00,0:00:04,4.094,4094,00:00:04:02,0:00:04,4.094,4094,00:00:04:02,APG,Kali:chiwi:na'wi kini n chu: iyma:,Hablemos de este,,,,,,,,,,,
0:00:00,0,0,00:00:00:00,0:00:01,0.818,818,00:00:00:20,0:00:01,0.818,818,00:00:00:20,,,,kali:chiwi:na'wi,ka-li:-chiwi:-na'-w-i,ka-li:-chiwi:-nan-'w,IRR-INS-V.talk-ANTIP-1SBJ.SG-JNCT,IRR-INS-V.talk-ANTIP-1SBJ.SG,,,,,,
0:00:01,0.818,818,00:00:00:20,0:00:02,1.637,1637,00:00:01:15,0:00:01,0.819,819,00:00:00:20,,,,kini,kin-i,kin,PRN.1SBJ.PL-JNCT,PRN.1SBJ.PL,,,,,,
0:00:02,1.637,1637,00:00:01:15,0:00:02,2.456,2456,00:00:02:11,0:00:01,0.819,819,00:00:00:20,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:02,2.456,2456,00:00:02:11,0:00:03,3.275,3275,00:00:03:06,0:00:01,0.819,819,00:00:00:20,,,,chu:,chu:,chu:,PTCL,PTCL,,,,,,
0:00:03,3.275,3275,00:00:03:06,0:00:04,4.094,4094,00:00:04:02,0:00:01,0.819,819,00:00:00:20,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:04,4.094,4094,00:00:04:02,0:00:08,8.281,8281,00:00:08:07,0:00:04,4.187,4187,00:00:04:04,APG,"usa miya:k, usa palhma, usa tawá:'n, tu: n tla:n li:laqapasa:'wi iyma:","bejuco, hierba, hoja o como sea que conozcamos a este",,,,,,,,,,,
0:00:04,4.094,4094,00:00:04:02,0:00:04,4.474,4474,00:00:04:11,0:00:00,0.38,380,00:00:00:09,,,,usa,usa,usa,INTJ,INTJ,,,,,,
0:00:04,4.474,4474,00:00:04:11,0:00:05,4.855,4855,00:00:04:21,0:00:00,0.381,381,00:00:00:09,,,,miya:k,miya:k,miya:k,vine,vine,,,,,,
0:00:05,4.855,4855,00:00:04:21,0:00:05,5.235,5235,00:00:05:05,0:00:00,0.38,380,00:00:00:09,,,,usa,usa,usa,INTJ,INTJ,,,,,,
0:00:05,5.235,5235,00:00:05:05,0:00:06,5.616,5616,00:00:05:15,0:00:00,0.381,381,00:00:00:09,,,,palhma,palhma,palhma',plant,plant,,,,,,
0:00:06,5.616,5616,00:00:05:15,0:00:06,5.997,5997,00:00:05:24,0:00:00,0.381,381,00:00:00:09,,,,usa,usa,usa,INTJ,INTJ,,,,,,
0:00:06,5.997,5997,00:00:05:24,0:00:06,6.377,6377,00:00:06:09,0:00:00,0.38,380,00:00:00:09,,,,tawá:'n,tawá:'n,tawá:'n,plant,plant,,,,,,
0:00:06,6.377,6377,00:00:06:09,0:00:07,6.758,6758,00:00:06:18,0:00:00,0.381,381,00:00:00:09,,,,tu:,tu:,tu:,NREL,NREL,,,,,,
0:00:07,6.758,6758,00:00:06:18,0:00:07,7.139,7139,00:00:07:03,0:00:00,0.381,381,00:00:00:09,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:07,7.139,7139,00:00:07:03,0:00:08,7.519,7519,00:00:07:12,0:00:00,0.38,380,00:00:00:09,,,,tla:n,tla:n,tla:n,good,good,,,,,,
0:00:08,7.519,7519,00:00:07:12,0:00:08,7.9,7900,00:00:07:22,0:00:00,0.381,381,00:00:00:09,,,,li:laqapasa:'wi,li:-laqapas-a:'-w-i,li:-laqapas-a:'-'w,INS-V.recognize-IPFV-1SBJ.PL-JNCT [PRES],INS-V.recognize-IPFV-1SBJ.PL [PRES],,,,,,
0:00:08,7.9,7900,00:00:07:22,0:00:08,8.281,8281,00:00:08:07,0:00:00,0.381,381,00:00:00:09,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:08,8.281,8281,00:00:08:07,0:00:10,9.86,9860,00:00:09:21,0:00:02,1.579,1579,00:00:01:14,APG,"taxa:'k wanikán,","que llaman taxa:'k (Toxicodendron radicans),",,,,,,,,,,,
0:00:08,8.281,8281,00:00:08:07,0:00:09,9.07,9070,00:00:09:01,0:00:01,0.789,789,00:00:00:19,,,,taxa:'k,taxa:'k,taxa:'k,Toxicodendron.radicans,Toxicodendron.radicans,,,,,,
0:00:09,9.07,9070,00:00:09:01,0:00:10,9.86,9860,00:00:09:21,0:00:01,0.79,790,00:00:00:19,,,,wanikán,wa-ni-kán,wan-ni-kan,V.say-DAT-REFL [3SBJ.SG PRES IPFV],V.say-DAT-REFL [3SBJ.SG PRES IPFV],,,,,,
0:00:10,9.86,9860,00:00:09:21,0:00:15,14.688,14688,00:00:14:17,0:00:05,4.828,4828,00:00:04:20,APG,"laqapasa:'wi kini iyma: n tawa:'ni n pi likwa xa ma:tsi'tsi:nán, likwa n tama:yi ktiji',","conocemos perfectamente a esta hierba que es muy dañina, se puede hallar fácilmente sobre los caminos,",,,,,,,,,,,
0:00:10,9.86,9860,00:00:09:21,0:00:10,10.204,10204,00:00:10:05,0:00:00,0.344,344,00:00:00:08,,,,laqapasa:'wi,laqapas-a:'-w-i,laqapas-a:'-'w,V.recognize-IPFV-1SBJ.PL-JNCT [PRES],V.recognize-IPFV-1SBJ.PL [PRES],,,,,,
0:00:10,10.204,10204,00:00:10:05,0:00:11,10.549,10549,00:00:10:13,0:00:00,0.345,345,00:00:00:08,,,,kini,kin-i,kin,PRN.1SBJ.PL-JNCT,PRN.1SBJ.PL,,,,,,
0:00:11,10.549,10549,00:00:10:13,0:00:11,10.894,10894,00:00:10:22,0:00:00,0.345,345,00:00:00:08,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:11,10.894,10894,00:00:10:22,0:00:11,11.239,11239,00:00:11:05,0:00:00,0.345,345,00:00:00:08,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:11,11.239,11239,00:00:11:05,0:00:12,11.584,11584,00:00:11:14,0:00:00,0.345,345,00:00:00:08,,,,tawa:'ni,tawa:'n-i,tawa:'n,plant-JNCT,plant,,,,,,
0:00:12,11.584,11584,00:00:11:14,0:00:12,11.929,11929,00:00:11:23,0:00:00,0.345,345,00:00:00:08,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:12,11.929,11929,00:00:11:23,0:00:12,12.274,12274,00:00:12:06,0:00:00,0.345,345,00:00:00:08,,,,pi,pi,pi,COMP,COMP,,,,,,
0:00:12,12.274,12274,00:00:12:06,0:00:13,12.618,12618,00:00:12:15,0:00:00,0.344,344,00:00:00:08,,,,likwa,likwa,likwa',many,many,,,,,,
0:00:13,12.618,12618,00:00:12:15,0:00:13,12.963,12963,00:00:12:24,0:00:00,0.345,345,00:00:00:08,,,,xa,xa,xa',PRN.3SBJ.SG,PRN.3SBJ.SG,,,,,,
0:00:13,12.963,12963,00:00:12:24,0:00:13,13.308,13308,00:00:13:07,0:00:00,0.345,345,00:00:00:08,,,,ma:tsi'tsi:nán,ma:-tsi'tsi:-nan,ma:-tsi'tsi:-nan,CAUS-V.pimple-ANTIP [3SBJ.SG PRES],CAUS-V.pimple-ANTIP [3SBJ.SG PRES],,,,,,
0:00:13,13.308,13308,00:00:13:07,0:00:14,13.653,13653,00:00:13:16,0:00:00,0.345,345,00:00:00:08,,,,likwa,likwa,likwa',many,many,,,,,,
0:00:14,13.653,13653,00:00:13:16,0:00:14,13.998,13998,00:00:13:24,0:00:00,0.345,345,00:00:00:08,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:14,13.998,13998,00:00:13:24,0:00:14,14.343,14343,00:00:14:08,0:00:00,0.345,345,00:00:00:08,,,,tama:yi,ta-ma:-y-i,ta-ma:-a:',INC-V.lie.down-IPFV-JNCT [3SBJ.SG PRES],INC-V.lie.down-IPFV [3SBJ.SG PRES],,,,,,
0:00:14,14.343,14343,00:00:14:08,0:00:15,14.688,14688,00:00:14:17,0:00:00,0.345,345,00:00:00:08,,,,ktiji',k-tiji,k-tiji',LOC-path,LOC-path,,,,,,
0:00:15,14.688,14688,00:00:14:17,0:00:17,16.5,16500,00:00:16:12,0:00:02,1.812,1812,00:00:01:20,APG,pus ni:tú katsi:ya:'wi n pala,no sabemos,,,,,,,,,,,
0:00:15,14.688,14688,00:00:14:17,0:00:15,15.05,15050,00:00:15:01,0:00:00,0.362,362,00:00:00:09,,,,pus,pus,pus,INTJ,INTJ,,,,,,
0:00:15,15.05,15050,00:00:15:01,0:00:15,15.412,15412,00:00:15:10,0:00:00,0.362,362,00:00:00:09,,,,ni:tú,ni:tú,ni:tú',nothing,nothing,,,,,,
0:00:15,15.412,15412,00:00:15:10,0:00:16,15.775,15775,00:00:15:19,0:00:00,0.363,363,00:00:00:09,,,,katsi:ya:'wi,katsi:-yá:'-w-i,katsi:-á:'-'w,V.know-IPFV-1SBJ.PL-JNCT,V.know-IPFV-1SBJ.PL,,,,,,
0:00:16,15.775,15775,00:00:15:19,0:00:16,16.137,16137,00:00:16:03,0:00:00,0.362,362,00:00:00:09,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:16,16.137,16137,00:00:16:03,0:00:17,16.5,16500,00:00:16:12,0:00:00,0.363,363,00:00:00:09,,,,pala,pala,pala,CONJ,CONJ,,,,,,
0:00:17,16.5,16500,00:00:16:12,0:00:18,18.375,18375,00:00:18:09,0:00:02,1.875,1875,00:00:01:21,APG,"n tu: a:ti:pa:'tu maklakaskinkán,","si tiene algún uso,",,,,,,,,,,,
0:00:17,16.5,16500,00:00:16:12,0:00:17,16.968,16968,00:00:16:24,0:00:00,0.468,468,00:00:00:11,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:17,16.968,16968,00:00:16:24,0:00:17,17.437,17437,00:00:17:10,0:00:00,0.469,469,00:00:00:11,,,,tu:,tu:,tu:,NREL,NREL,,,,,,
0:00:17,17.437,17437,00:00:17:10,0:00:18,17.906,17906,00:00:17:22,0:00:00,0.469,469,00:00:00:11,,,,a:ti:pa:'tu,a:-ti:pa:'-tu,a:-ti:pa:'-t,ADD-CLF-one,ADD-CLF-one,,,,,,
0:00:18,17.906,17906,00:00:17:22,0:00:18,18.375,18375,00:00:18:09,0:00:00,0.469,469,00:00:00:11,,,,maklakaskinkán,mak-lakaskin-kán,mak-lakaskin-kan,body-V.use-INDEF,body-V.use-INDEF,,,,,,
0:00:18,18.375,18375,00:00:18:09,0:00:20,19.562,19562,00:00:19:14,0:00:01,1.187,1187,00:00:01:04,APG,ka wa: xa n pi,sólo que,,,,,,,,,,,
0:00:18,18.375,18375,00:00:18:09,0:00:19,18.612,18612,00:00:18:15,0:00:00,0.237,237,00:00:00:05,,,,ka,ka,kah,only,only,,,,,,
0:00:19,18.612,18612,00:00:18:15,0:00:19,18.849,18849,00:00:18:21,0:00:00,0.237,237,00:00:00:05,,,,wa:,wa:,wa:,FOC,FOC,,,,,,
0:00:19,18.849,18849,00:00:18:21,0:00:19,19.087,19087,00:00:19:02,0:00:00,0.238,238,00:00:00:05,,,,xa,xa,xa',PRN.3SBJ.SG,PRN.3SBJ.SG,,,,,,
0:00:19,19.087,19087,00:00:19:02,0:00:19,19.324,19324,00:00:19:08,0:00:00,0.237,237,00:00:00:05,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:19,19.324,19324,00:00:19:08,0:00:20,19.562,19562,00:00:19:14,0:00:00,0.238,238,00:00:00:05,,,,pi,pi,pi,COMP,COMP,,,,,,
0:00:20,19.562,19562,00:00:19:14,0:00:24,24.234,24234,00:00:24:05,0:00:05,4.672,4672,00:00:04:16,APG,"lapí ninapulhiya', likwa n kaxku lhu:wani iyma: n tawa:'ni nixkatsi n pala na: laqapasa wix.","si no se corta, esta hierba se llega a multiplicar demasiado, no sé si lo conoces.",,,,,,,,,,,
0:00:20,19.562,19562,00:00:19:14,0:00:20,19.873,19873,00:00:19:21,0:00:00,0.311,311,00:00:00:07,,,,lapí,lapí,lapí,if,if,,,,,,
0:00:20,19.873,19873,00:00:19:21,0:00:20,20.184,20184,00:00:20:04,0:00:00,0.311,311,00:00:00:07,,,,ninapulhiya',ni-na-pulhi-ya-',ni-na-pulhi-a:'-',NEG-FUT-V.pluck-IPFV-2SBJ.SG,NEG-FUT-V.pluck-IPFV-2SBJ.SG,,,,,,
0:00:20,20.184,20184,00:00:20:04,0:00:20,20.496,20496,00:00:20:12,0:00:00,0.312,312,00:00:00:07,,,,likwa,likwa,likwa',many,many,,,,,,
0:00:20,20.496,20496,00:00:20:12,0:00:21,20.807,20807,00:00:20:20,0:00:00,0.311,311,00:00:00:07,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:21,20.807,20807,00:00:20:20,0:00:21,21.119,21119,00:00:21:02,0:00:00,0.312,312,00:00:00:07,,,,kaxku,kaxku,kaxku,more,more,,,,,,
0:00:21,21.119,21119,00:00:21:02,0:00:21,21.43,21430,00:00:21:10,0:00:00,0.311,311,00:00:00:07,,,,lhu:wani,lhu:wa-ni,lhu:wa-n,many-PL,many-PL,,,,,,
0:00:21,21.43,21430,00:00:21:10,0:00:22,21.742,21742,00:00:21:18,0:00:00,0.312,312,00:00:00:07,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:22,21.742,21742,00:00:21:18,0:00:22,22.053,22053,00:00:22:01,0:00:00,0.311,311,00:00:00:07,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:22,22.053,22053,00:00:22:01,0:00:22,22.365,22365,00:00:22:09,0:00:00,0.312,312,00:00:00:07,,,,tawa:'ni,tawa:'n-i,tawa:'n,plant-JNCT,plant,,,,,,
0:00:22,22.365,22365,00:00:22:09,0:00:23,22.676,22676,00:00:22:16,0:00:00,0.311,311,00:00:00:07,,,,nixkatsi,ni-x-kats-i,ni-x-kats,NEG-???-V.know-JNCT,NEG-???-V.know,,,,,,
0:00:23,22.676,22676,00:00:22:16,0:00:23,22.988,22988,00:00:22:24,0:00:00,0.312,312,00:00:00:07,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:23,22.988,22988,00:00:22:24,0:00:23,23.299,23299,00:00:23:07,0:00:00,0.311,311,00:00:00:07,,,,pala,pala,pala,CONJ,CONJ,,,,,,
0:00:23,23.299,23299,00:00:23:07,0:00:24,23.611,23611,00:00:23:15,0:00:00,0.312,312,00:00:00:07,,,,na:,na:,na:,aslo,also,,,,,,
0:00:24,23.611,23611,00:00:23:15,0:00:24,23.922,23922,00:00:23:23,0:00:00,0.311,311,00:00:00:07,,,,laqapasa,laqapas-a,laqapas-a:'-',V.recognize-IPFV [2SBJ.SG PRES],V.recognize-IPFV-2SBJ.SG [PRES],,,,,,
0:00:24,23.922,23922,00:00:23:23,0:00:24,24.234,24234,00:00:24:05,0:00:00,0.312,312,00:00:00:07,,,,wix,wix,wix,PRN.2SBJ.SG,PRN.2SBJ.SG,,,,,,
0:00:24,24.234,24234,00:00:24:05,0:00:28,27.828,27828,00:00:27:20,0:00:04,3.594,3594,00:00:03:14,ESP,"Xli:ka:na na: n ti: kilhwámpa:'ti, iyma: n taxa:'k luwa","Es verdad lo que dices, este taxa:'k",,,,,,,,,,,
0:00:24,24.234,24234,00:00:24:05,0:00:25,24.633,24633,00:00:24:15,0:00:00,0.399,399,00:00:00:09,,,,xli:ka:na,xli:ka:na,xli:ka:nah,true,true,,,,,,
0:00:25,24.633,24633,00:00:24:15,0:00:25,25.032,25032,00:00:25:00,0:00:00,0.399,399,00:00:00:09,,,,na:,na:,na:,aslo,also,,,,,,
0:00:25,25.032,25032,00:00:25:00,0:00:25,25.432,25432,00:00:25:10,0:00:00,0.4,400,00:00:00:10,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:25,25.432,25432,00:00:25:10,0:00:26,25.831,25831,00:00:25:20,0:00:00,0.399,399,00:00:00:09,,,,ti:,ti:,ti:,HREL,HREL,,,,,,
0:00:26,25.831,25831,00:00:25:20,0:00:26,26.23,26230,00:00:26:05,0:00:00,0.399,399,00:00:00:09,,,,kilhwámpa:'ti,kilh-wám-pa:'-t-i,kilh.wan-pa:'-t,mouth-V.say-PROG.2SBJ-2SBJ.SG-JNCT,mouth-V.say-PROG.2SBJ-2SBJ.SG,,,,,,
0:00:26,26.23,26230,00:00:26:05,0:00:27,26.63,26630,00:00:26:15,0:00:00,0.4,400,00:00:00:10,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:27,26.63,26630,00:00:26:15,0:00:27,27.029,27029,00:00:27:00,0:00:00,0.399,399,00:00:00:09,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:27,27.029,27029,00:00:27:00,0:00:27,27.428,27428,00:00:27:10,0:00:00,0.399,399,00:00:00:09,,,,taxa:'k,taxa:'k,taxa:'k,Toxicodendron.radicans,Toxicodendron.radicans,,,,,,
0:00:27,27.428,27428,00:00:27:10,0:00:28,27.828,27828,00:00:27:20,0:00:00,0.4,400,00:00:00:10,,,,luwa,luwa,luwa,very,very,,,,,,
0:00:28,27.828,27828,00:00:27:20,0:00:30,30.361,30361,00:00:30:09,0:00:03,2.533,2533,00:00:02:13,ESP,"lu:xalu:ku xa iyma: iyma: n taxa:'k,","es muy peligroso,",,,,,,,,,,,
0:00:28,27.828,27828,00:00:27:20,0:00:28,28.25,28250,00:00:28:06,0:00:00,0.422,422,00:00:00:10,,,,lu:xalu:ku,lu:-xa-lu:ku,lu:-xa-lu:kuh,INTNS-DEF-angry,INTNS-DEF-angry,,,,,,
0:00:28,28.25,28250,00:00:28:06,0:00:29,28.672,28672,00:00:28:16,0:00:00,0.422,422,00:00:00:10,,,,xa,xa,xa',PRN.3SBJ.SG,PRN.3SBJ.SG,,,,,,
0:00:29,28.672,28672,00:00:28:16,0:00:29,29.094,29094,00:00:29:02,0:00:00,0.422,422,00:00:00:10,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:29,29.094,29094,00:00:29:02,0:00:30,29.516,29516,00:00:29:12,0:00:00,0.422,422,00:00:00:10,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:30,29.516,29516,00:00:29:12,0:00:30,29.938,29938,00:00:29:23,0:00:00,0.422,422,00:00:00:10,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:30,29.938,29938,00:00:29:23,0:00:30,30.361,30361,00:00:30:09,0:00:00,0.423,423,00:00:00:10,,,,taxa:'k,taxa:'k,taxa:'k,Toxicodendron.radicans,Toxicodendron.radicans,,,,,,
0:00:30,30.361,30361,00:00:30:09,0:00:32,32.03,32030,00:00:32:00,0:00:02,1.669,1669,00:00:01:16,ESP,wi: n ti: n kawa n tsinú naukxílh,algunos con sólo verlo,,,,,,,,,,,
0:00:30,30.361,30361,00:00:30:09,0:00:31,30.569,30569,00:00:30:14,0:00:00,0.208,208,00:00:00:05,,,,wi:,wi:,wi:,there.is,there.is,,,,,,
0:00:31,30.569,30569,00:00:30:14,0:00:31,30.778,30778,00:00:30:19,0:00:00,0.209,209,00:00:00:05,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:31,30.778,30778,00:00:30:19,0:00:31,30.986,30986,00:00:30:24,0:00:00,0.208,208,00:00:00:05,,,,ti:,ti:,ti:,HREL,HREL,,,,,,
0:00:31,30.986,30986,00:00:30:24,0:00:31,31.195,31195,00:00:31:04,0:00:00,0.209,209,00:00:00:05,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:31,31.195,31195,00:00:31:04,0:00:31,31.404,31404,00:00:31:10,0:00:00,0.209,209,00:00:00:05,,,,kawa,kawa,kawa,only,only,,,,,,
0:00:31,31.404,31404,00:00:31:10,0:00:32,31.612,31612,00:00:31:15,0:00:00,0.208,208,00:00:00:05,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:32,31.612,31612,00:00:31:15,0:00:32,31.821,31821,00:00:31:20,0:00:00,0.209,209,00:00:00:05,,,,tsinú,tsinú,tsinúh,little,little,,,,,,
0:00:32,31.821,31821,00:00:31:20,0:00:32,32.03,32030,00:00:32:00,0:00:00,0.209,209,00:00:00:05,,,,naukxílh,na-ukxílh,na-ukxilh-a:',FUT-V.see [3SBJ.SG PRES IPFV],FUT-V.see-IPFV [3SBJ.SG PRES],,,,,,
0:00:32,32.03,32030,00:00:32:00,0:00:33,33.41,33410,00:00:33:10,0:00:01,1.38,1380,00:00:01:09,ESP,"tunkún nama:tsi'tsí:h,","les provoca granos en la piel de manera instantanea,",,,,,,,,,,,
0:00:32,32.03,32030,00:00:32:00,0:00:33,32.72,32720,00:00:32:18,0:00:01,0.69,690,00:00:00:17,,,,tunkún,tunkún,tunkun,immediately,immediately,,,,,,
0:00:33,32.72,32720,00:00:32:18,0:00:33,33.41,33410,00:00:33:10,0:00:01,0.69,690,00:00:00:17,,,,nama:tsi'tsí:h,na-ma:-tsi'tsí:-h,na-ma:-tsi'tsí:-a:',FUT-CAUS-V.pimple-IPFV [3SBJ.SG],FUT-CAUS-V.pimple-IPFV [3SBJ.SG],,,,,,
0:00:33,33.41,33410,00:00:33:10,0:00:35,35.308,35308,00:00:35:07,0:00:02,1.898,1898,00:00:01:22,ESP,wi: n chu: wa: n ti: nipala tu: tlawaniyi,hay otros que no les provoca ningún daño,,,,,,,,,,,
0:00:33,33.41,33410,00:00:33:10,0:00:34,33.62,33620,00:00:33:15,0:00:00,0.21,210,00:00:00:05,,,,wi:,wi:,wi:,there.is,there.is,,,,,,
0:00:34,33.62,33620,00:00:33:15,0:00:34,33.831,33831,00:00:33:20,0:00:00,0.211,211,00:00:00:05,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:34,33.831,33831,00:00:33:20,0:00:34,34.042,34042,00:00:34:01,0:00:00,0.211,211,00:00:00:05,,,,chu:,chu:,chu:,PTCL,PTCL,,,,,,
0:00:34,34.042,34042,00:00:34:01,0:00:34,34.253,34253,00:00:34:06,0:00:00,0.211,211,00:00:00:05,,,,wa:,wa:,wa:,FOC,FOC,,,,,,
0:00:34,34.253,34253,00:00:34:06,0:00:34,34.464,34464,00:00:34:11,0:00:00,0.211,211,00:00:00:05,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:34,34.464,34464,00:00:34:11,0:00:35,34.675,34675,00:00:34:16,0:00:00,0.211,211,00:00:00:05,,,,ti:,ti:,ti:,HREL,HREL,,,,,,
0:00:35,34.675,34675,00:00:34:16,0:00:35,34.886,34886,00:00:34:22,0:00:00,0.211,211,00:00:00:05,,,,nipala,ni-pala,ni-pala,NEG-CONJ,NEG-CONJ,,,,,,
0:00:35,34.886,34886,00:00:34:22,0:00:35,35.097,35097,00:00:35:02,0:00:00,0.211,211,00:00:00:05,,,,tu:,tu:,tu:,NREL,NREL,,,,,,
